Date,TotalSteps,TotalFloorsClimbed,TotalCaloriesBurned,TotalElevationGained,TotalElevationGainedUnit,TotalDistanceCovered,TotalDistanceCoveredUnit,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes
2/3/2016,10969,22,2680,67.06,meters,8.19,kilometers,1189,202,11,38
2/4/2016,8271,29,3798,88.39,meters,6.18,kilometers,966,245,157,72
2/5/2016,9861,25,2532,76.2,meters,7.37,kilometers,1233,151,10,46
2/6/2016,12883,37,2648,112.78,meters,9.62,kilometers,1189,183,51,17
2/7/2016,12894,19,2819,57.91,meters,9.63,kilometers,1125,276,34,5
2/8/2016,11145,63,2757,192.02,meters,8.33,kilometers,1143,272,9,16
2/9/2016,10365,22,2671,67.06,meters,7.74,kilometers,1164,251,3,22
2/10/2016,10537,19,2472,57.91,meters,7.87,kilometers,1259,115,12,54
2/11/2016,12958,17,2818,51.82,meters,9.68,kilometers,1171,238,4,27
2/12/2016,11822,27,2730,82.3,meters,8.83,kilometers,1148,241,10,41
2/13/2016,8642,20,2419,60.96,meters,6.46,kilometers,1241,155,22,22
2/14/2016,1102,0,1857,0,meters,0.82,kilometers,1382,58,0,0
2/15/2016,12308,41,2766,124.97,meters,9.19,kilometers,697,230,19,38
2/16/2016,10570,22,2658,67.06,meters,7.9,kilometers,705,235,7,32
2/17/2016,10144,35,2700,106.68,meters,7.58,kilometers,789,219,6,24
2/18/2016,9300,28,2582,85.34,meters,6.95,kilometers,766,163,10,42
2/19/2016,12449,30,2764,91.44,meters,9.3,kilometers,721,203,32,41
2/20/2016,11876,18,2941,54.86,meters,8.87,kilometers,996,260,22,52
2/21/2016,11485,43,2701,131.06,meters,8.58,kilometers,806,208,52,5
2/22/2016,9848,18,2629,54.86,meters,7.36,kilometers,1037,207,18,31
2/23/2016,9072,24,2434,73.15,meters,6.78,kilometers,852,159,16,29
3/1/2016,13413,42,2827,128.02,meters,10.02,kilometers,1134,233,25,48
3/28/2016,11545,47,2495,143.26,meters,8.62,kilometers,1235,112,89,4
3/29/2016,18651,108,3041,329.18,meters,13.93,kilometers,1125,156,62,97
3/30/2016,4232,34,2358,103.63,meters,3.16,kilometers,1254,159,21,6
3/31/2016,9508,22,2484,67.06,meters,7.1,kilometers,1275,83,21,61
4/1/2016,8177,18,2583,54.86,meters,6.11,kilometers,1183,184,50,23
4/4/2016,11453,10,2699,30.48,meters,8.56,kilometers,1168,202,54,16
4/5/2016,12082,22,2777,67.06,meters,9.03,kilometers,1155,215,36,34
4/6/2016,4043,7,2259,21.34,meters,3.02,kilometers,1293,147,0,0
4/7/2016,9534,38,2468,115.82,meters,7.12,kilometers,1224,168,11,37
4/11/2016,10133,39,2650,118.87,meters,7.57,kilometers,1183,200,39,18
4/12/2016,11560,28,2634,85.34,meters,8.64,kilometers,1180,228,12,20
4/13/2016,11439,31,2553,94.49,meters,8.55,kilometers,1211,163,28,38
4/18/2016,12522,39,2538,118.87,meters,9.35,kilometers,1224,149,23,44
4/21/2016,14628,49,2798,149.35,meters,10.93,kilometers,1166,185,24,65
4/22/2016,13467,30,2699,91.44,meters,10.06,kilometers,1160,203,41,36
4/26/2016,15292,42,2791,128.02,meters,11.42,kilometers,1172,178,36,54
4/27/2016,10091,29,2442,88.39,meters,7.54,kilometers,1253,145,17,25
4/28/2016,7958,16,2365,48.77,meters,5.94,kilometers,1255,157,10,18
4/29/2016,12434,42,2732,128.02,meters,9.29,kilometers,1207,149,28,56
4/30/2016,26,0,1661,0,meters,0.02,kilometers,1437,3,0,0
5/1/2016,6823,7,2281,21.34,meters,5.1,kilometers,1259,149,21,11
5/2/2016,9680,24,2552,73.15,meters,7.23,kilometers,1200,186,29,25
5/5/2016,3363,4,1968,12.19,meters,2.51,kilometers,1356,84,0,0
5/6/2016,6215,19,2252,57.91,meters,4.64,kilometers,1273,147,12,8
5/11/2016,8635,18,2446,54.86,meters,6.45,kilometers,1262,120,23,35
5/12/2016,13745,23,2836,70.1,meters,10.27,kilometers,1158,188,43,51
5/14/2016,7674,10,2636,30.48,meters,5.73,kilometers,1162,278,0,0
5/17/2016,0,0,1648,0,meters,0,kilometers,1440,0,0,0
5/18/2016,7670,31,2441,94.49,meters,5.73,kilometers,1252,161,23,4
6/9/2016,12435,41,2585,124.97,meters,9.29,kilometers,1214,183,12,31
6/10/2016,17126,18,2974,54.86,meters,12.79,kilometers,1135,212,42,51
6/16/2016,9635,17,2451,51.82,meters,7.2,kilometers,1228,178,5,29
6/17/2016,12372,19,2684,57.91,meters,9.27,kilometers,1152,240,6,42
6/23/2016,9281,21,2477,64.01,meters,6.93,kilometers,1228,158,16,38
7/8/2016,13964,25,2750,76.2,meters,10.43,kilometers,1164,204,25,47
7/9/2016,6025,9,2164,27.43,meters,4.5,kilometers,960,133,11,7
7/16/2016,10113,5,2526,15.24,meters,7.55,kilometers,1219,149,49,23
7/17/2016,4298,34,1992,103.63,meters,3.21,kilometers,1337,12,91,0
7/18/2016,9345,13,2392,39.62,meters,6.98,kilometers,1254,132,29,25
7/19/2016,13897,33,2747,100.58,meters,10.77,kilometers,1202,161,4,73
7/20/2016,13567,39,2608,118.87,meters,10.24,kilometers,1256,75,17,92
7/21/2016,15169,78,2722,237.74,meters,11.62,kilometers,1208,32,121,79
7/24/2016,19042,0,3015,0,meters,14.22,kilometers,1123,172,132,13
7/25/2016,40166,20,4405,60.96,meters,30,kilometers,811,317,174,138
7/26/2016,6446,2,2174,6.1,meters,4.82,kilometers,1308,132,0,0
7/27/2016,10206,21,2479,64.01,meters,7.62,kilometers,1224,162,11,43
7/28/2016,8922,17,2322,51.82,meters,6.66,kilometers,1277,109,14,40
7/30/2016,0,0,1657,0,meters,0,kilometers,1440,0,0,0
7/31/2016,15919,75,2615,228.6,meters,12.12,kilometers,1206,61,138,35
8/1/2016,15341,43,2830,131.06,meters,12.26,kilometers,1189,146,14,91
8/3/2016,10072,29,2453,88.39,meters,7.52,kilometers,1233,168,7,32
8/4/2016,17567,41,2930,124.97,meters,13.23,kilometers,1170,149,23,98
8/5/2016,15602,44,2805,134.11,meters,12.14,kilometers,1185,149,15,91
8/6/2016,10604,17,2392,51.82,meters,8.12,kilometers,1273,83,23,61
8/7/2016,9313,15,2212,45.72,meters,7.62,kilometers,1333,19,33,55
8/8/2016,12175,23,2581,70.1,meters,9.09,kilometers,1043,136,27,44
8/9/2016,19382,52,3186,158.5,meters,15.44,kilometers,1123,135,60,122
8/10/2016,15537,40,2863,121.92,meters,11.82,kilometers,1162,201,17,60
8/11/2016,10195,27,2427,82.3,meters,7.62,kilometers,1266,122,11,41
8/12/2016,19384,48,3011,146.3,meters,14.48,kilometers,1146,167,17,110
8/13/2016,11022,15,2381,45.72,meters,9.38,kilometers,1285,72,24,59
8/14/2016,14233,8,3003,24.38,meters,10.63,kilometers,1115,214,84,27
8/15/2016,10966,7,2742,21.34,meters,8.19,kilometers,1144,224,49,23
8/16/2016,17108,24,2882,73.15,meters,12.78,kilometers,1138,197,70,35
8/17/2016,16096,20,2835,60.96,meters,12.56,kilometers,1154,184,55,47
8/18/2016,0,0,1658,0,meters,0,kilometers,1440,0,0,0
8/19/2016,10993,13,2531,39.62,meters,8.21,kilometers,1202,195,11,32
8/20/2016,7616,16,2177,48.77,meters,5.69,kilometers,1318,69,33,20
8/21/2016,11654,16,2640,48.77,meters,8.71,kilometers,1139,271,24,6
8/22/2016,16007,31,2862,94.49,meters,11.96,kilometers,1149,169,71,51
8/23/2016,15543,5,3149,15.24,meters,11.61,kilometers,991,400,49,0
8/26/2016,12,0,1659,0,meters,0.01,kilometers,1439,1,0,0
8/29/2016,14414,15,2865,45.72,meters,10.77,kilometers,1103,287,49,1
8/30/2016,7167,23,2375,70.1,meters,5.35,kilometers,1242,115,78,5
8/31/2016,4703,4,2048,12.19,meters,3.51,kilometers,1334,98,7,1
9/1/2016,13486,24,2676,73.15,meters,10.07,kilometers,1190,175,24,51
9/2/2016,18099,22,3025,67.06,meters,13.52,kilometers,1081,251,44,64
9/3/2016,5190,3,2031,9.14,meters,3.88,kilometers,1440,0,0,0
9/4/2016,7998,14,2285,42.67,meters,5.97,kilometers,1249,160,31,0
9/5/2016,14058,30,2715,91.44,meters,10.5,kilometers,1171,199,23,47
9/6/2016,11147,28,2547,85.34,meters,8.33,kilometers,1220,149,18,53
9/7/2016,21991,37,3259,112.78,meters,16.43,kilometers,1043,276,56,65
9/8/2016,11048,42,2460,128.02,meters,8.52,kilometers,1267,115,14,44
9/9/2016,12775,19,2659,57.91,meters,9.66,kilometers,1178,197,23,42
9/10/2016,19429,28,3086,85.34,meters,14.64,kilometers,1113,178,71,78
9/11/2016,0,0,1657,0,meters,0,kilometers,1440,0,0,0
9/12/2016,13149,37,2632,112.78,meters,9.82,kilometers,1205,173,9,53
9/13/2016,10528,23,2417,70.1,meters,7.86,kilometers,1266,121,10,43
9/14/2016,14334,40,2756,121.92,meters,11.46,kilometers,1190,168,19,63
9/15/2016,12477,28,2577,85.34,meters,9.32,kilometers,1208,170,11,51
9/16/2016,11602,23,2534,70.1,meters,8.67,kilometers,1211,178,9,42
9/17/2016,9059,11,2318,33.53,meters,6.77,kilometers,1289,96,30,25
9/28/2016,13118,45,2649,137.16,meters,9.8,kilometers,1387,53,0,0
9/29/2016,10139,37,2671,112.78,meters,7.57,kilometers,1195,145,65,35
9/30/2016,10807,22,2572,67.06,meters,8.07,kilometers,1180,218,20,22
10/1/2016,17736,31,3209,94.49,meters,13.25,kilometers,563,238,68,87
10/2/2016,2010,2,1903,6.1,meters,1.5,kilometers,1334,106,0,0
10/3/2016,13762,33,2752,100.58,meters,10.28,kilometers,745,227,10,55
10/4/2016,11627,33,2564,100.58,meters,8.69,kilometers,824,142,15,59
10/5/2016,12700,42,2711,128.02,meters,9.49,kilometers,791,193,19,52
10/6/2016,14049,40,2749,121.92,meters,10.49,kilometers,799,194,16,62
10/7/2016,14736,30,2799,91.44,meters,11.01,kilometers,938,228,14,60
10/8/2016,21960,46,3432,140.21,meters,16.52,kilometers,973,321,78,68
10/9/2016,2353,1,1919,3.05,meters,1.76,kilometers,1314,108,0,0
10/10/2016,15662,37,2832,112.78,meters,11.7,kilometers,708,199,18,61
10/11/2016,15721,49,2840,149.35,meters,11.74,kilometers,724,213,9,58
10/12/2016,10511,29,2470,88.39,meters,7.85,kilometers,810,136,15,51
10/13/2016,11226,24,2511,73.15,meters,8.39,kilometers,1192,140,17,52
10/14/2016,11966,27,2688,82.3,meters,8.94,kilometers,742,187,20,55
10/17/2016,12806,37,2603,112.78,meters,9.57,kilometers,1178,173,18,64
10/18/2016,8533,20,2274,60.96,meters,6.37,kilometers,827,120,7,32
10/19/2016,7205,11,2492,33.53,meters,5.38,kilometers,978,218,6,12
10/21/2016,10982,11,2792,33.53,meters,8.2,kilometers,1152,196,37,55
10/22/2016,6220,9,2509,27.43,meters,4.65,kilometers,1179,253,8,0
10/23/2016,2975,8,2077,24.38,meters,2.22,kilometers,1309,131,0,0
10/24/2016,10250,22,2776,67.06,meters,7.66,kilometers,1118,150,46,63
10/25/2016,10819,14,2687,42.67,meters,37.98,kilometers,1184,165,30,61
10/26/2016,13692,24,2888,73.15,meters,10.23,kilometers,1136,224,56,24
10/29/2016,3032,3,1837,9.14,meters,2.26,kilometers,1380,49,3,8
10/30/2016,4995,0,2230,0,meters,3.73,kilometers,1226,214,0,0
11/6/2016,10466,22,2426,67.06,meters,7.82,kilometers,1183,202,55,0
11/7/2016,8396,7,2362,21.34,meters,6.27,kilometers,1214,203,5,18
11/8/2016,14014,30,2811,91.44,meters,10.47,kilometers,709,270,13,50
11/12/2016,9919,16,2399,48.77,meters,7.41,kilometers,1231,188,8,13
11/13/2016,1264,7,1726,21.34,meters,2.05,kilometers,1416,14,2,8
11/14/2016,14874,24,2853,73.15,meters,11.11,kilometers,1080,315,12,33
11/15/2016,11484,19,2538,57.91,meters,8.58,kilometers,1193,196,14,37
11/16/2016,11825,31,2772,94.49,meters,10.54,kilometers,1136,237,23,44
11/17/2016,10073,24,2421,73.15,meters,7.52,kilometers,1221,177,9,33
11/18/2016,15014,43,2819,131.06,meters,12.26,kilometers,1138,225,17,60
11/20/2016,0,0,1619,0,meters,0,kilometers,1440,0,0,0
11/21/2016,15000,53,2723,161.54,meters,12.04,kilometers,1188,154,23,75
11/22/2016,8759,25,2310,76.2,meters,6.54,kilometers,1255,131,16,38
11/23/2016,10949,16,2477,48.77,meters,8.75,kilometers,1214,179,7,40
11/25/2016,11558,37,2579,112.78,meters,8.63,kilometers,1194,197,18,31
11/26/2016,9511,11,2259,33.53,meters,7.1,kilometers,1272,118,33,17
11/27/2016,3290,3,1836,9.14,meters,3.59,kilometers,1403,13,0,24
11/28/2016,6787,18,2179,54.86,meters,5.07,kilometers,1307,111,6,16
11/29/2016,11552,18,2643,54.86,meters,9.98,kilometers,1168,212,11,49
11/30/2016,13580,24,2742,73.15,meters,10.2,kilometers,1146,229,22,43
12/10/2016,11000,12,2582,36.58,meters,8.22,kilometers,1138,282,19,1
12/11/2016,4524,4,2029,12.19,meters,4.07,kilometers,1355,56,3,26
12/12/2016,14333,39,2758,118.87,meters,10.71,kilometers,1173,171,20,76
12/13/2016,17969,48,2893,146.3,meters,14.66,kilometers,1183,148,12,97
12/14/2016,14743,31,2731,94.49,meters,11.01,kilometers,1182,189,12,57
12/15/2016,11354,31,2603,94.49,meters,8.48,kilometers,1197,192,20,31
12/16/2016,10400,11,2492,33.53,meters,7.77,kilometers,1216,179,11,34
12/17/2016,15491,28,2675,85.34,meters,11.57,kilometers,1175,168,30,67
12/18/2016,7502,23,2224,70.1,meters,5.6,kilometers,1300,98,8,34
12/19/2016,8887,23,2317,70.1,meters,6.64,kilometers,1260,137,15,28
12/20/2016,13780,33,2594,100.58,meters,10.29,kilometers,1196,155,36,53
12/21/2016,0,0,1619,0,meters,0,kilometers,1440,0,0,0
12/22/2016,14486,41,2723,124.97,meters,11.63,kilometers,1141,236,14,49
12/23/2016,21678,49,3353,149.35,meters,16.46,kilometers,962,388,39,51
12/24/2016,14060,27,3086,82.3,meters,10.81,kilometers,1021,360,22,37
12/27/2016,15747,15,2837,45.72,meters,11.76,kilometers,1085,313,38,4
12/29/2016,11396,24,2473,73.15,meters,8.51,kilometers,1206,150,67,17
12/30/2016,15,0,1621,0,meters,0.01,kilometers,1439,1,0,0
1/2/2017,15951,10,2850,30.48,meters,11.92,kilometers,1078,302,53,7
1/3/2017,9388,30,2398,91.44,meters,7.01,kilometers,1220,179,14,27
1/4/2017,12919,12,2686,36.58,meters,9.65,kilometers,1148,214,66,12
1/6/2017,16603,28,2911,85.34,meters,12.45,kilometers,1111,253,49,27
1/7/2017,3160,8,1878,24.38,meters,2.36,kilometers,1300,56,3,7
1/8/2017,4718,8,2013,24.38,meters,3.52,kilometers,1311,118,9,2
1/9/2017,10050,27,2454,82.3,meters,7.51,kilometers,1197,214,8,21
1/10/2017,8512,21,2318,64.01,meters,6.36,kilometers,1245,170,7,18
1/11/2017,15177,41,2853,124.97,meters,15.73,kilometers,1156,196,25,63
1/12/2017,8006,29,2300,88.39,meters,6.03,kilometers,1243,172,10,15
1/13/2017,9423,26,2449,79.25,meters,7.04,kilometers,1195,221,5,19
1/14/2017,15849,47,2942,143.26,meters,11.89,kilometers,1077,300,35,28
1/15/2017,7979,9,2175,27.43,meters,5.96,kilometers,1278,124,34,4
1/16/2017,15031,26,2696,79.25,meters,12.57,kilometers,1180,186,15,59
1/17/2017,8518,27,2339,82.3,meters,6.36,kilometers,1224,205,2,9
1/18/2017,8874,25,2308,76.2,meters,6.68,kilometers,1251,157,9,23
1/19/2017,9660,25,2441,76.2,meters,7.22,kilometers,1197,221,5,17
1/20/2017,8179,17,2250,51.82,meters,6.11,kilometers,1265,150,4,21
1/21/2017,20472,27,3198,82.3,meters,15.35,kilometers,1002,360,34,44
1/22/2017,6599,2,2300,6.1,meters,6.11,kilometers,1246,166,0,28
1/23/2017,11263,24,2474,73.15,meters,9.38,kilometers,1216,173,4,47
1/26/2017,9400,32,2409,97.54,meters,7.02,kilometers,1228,189,6,17
1/28/2017,18761,21,3017,64.01,meters,14.01,kilometers,1065,248,115,12
1/29/2017,11968,17,2550,51.82,meters,8.94,kilometers,1182,172,85,1
1/30/2017,13468,20,2701,60.96,meters,11.29,kilometers,1196,167,15,62
1/31/2017,8021,11,2284,33.53,meters,5.99,kilometers,1268,159,3,10
2/1/2017,15925,52,2915,158.5,meters,13.5,kilometers,1141,235,8,56
2/2/2017,16954,37,2821,112.78,meters,12.66,kilometers,1154,183,35,68
2/3/2017,21757,51,3153,155.45,meters,17.73,kilometers,1105,204,44,87
2/4/2017,0,0,1619,0,meters,0,kilometers,1440,0,0,0
2/5/2017,7849,4,2230,12.19,meters,5.86,kilometers,1252,149,35,4
2/6/2017,17659,41,2845,124.97,meters,14.46,kilometers,1181,128,23,108
2/7/2017,11949,29,2502,88.39,meters,8.93,kilometers,1206,190,22,22
2/8/2017,15847,39,2852,118.87,meters,13.39,kilometers,1147,219,13,61
2/9/2017,11065,36,2462,109.73,meters,8.27,kilometers,1209,208,14,9
2/10/2017,15756,34,2995,103.63,meters,13.05,kilometers,1106,265,21,48
2/11/2017,12830,11,2657,33.53,meters,9.58,kilometers,1133,238,25,44
2/12/2017,4922,12,2152,36.58,meters,3.68,kilometers,1303,94,25,18
2/13/2017,15186,41,2735,124.97,meters,12.78,kilometers,1199,163,12,66
2/14/2017,14429,34,2681,103.63,meters,10.78,kilometers,1179,190,11,60
2/15/2017,18203,54,2992,164.59,meters,15.24,kilometers,1097,276,8,59
2/16/2017,10639,15,2513,45.72,meters,7.95,kilometers,1175,237,9,19
2/17/2017,9212,21,2401,64.01,meters,6.88,kilometers,1254,142,5,39
2/18/2017,10944,9,2503,27.43,meters,8.18,kilometers,1187,177,68,8
2/21/2017,14650,31,2815,94.49,meters,10.94,kilometers,1173,185,19,63
2/22/2017,9658,21,2557,64.01,meters,7.21,kilometers,1212,228,0,0
2/23/2017,1594,6,1905,18.29,meters,1.19,kilometers,1337,103,0,0
2/24/2017,8760,16,2571,48.77,meters,6.54,kilometers,1215,184,18,23
2/25/2017,16377,22,2776,67.06,meters,12.28,kilometers,1143,217,47,33
2/26/2017,12881,23,2709,70.1,meters,9.62,kilometers,1108,280,48,4
2/27/2017,15632,60,2833,182.88,meters,13.15,kilometers,1164,219,8,49
2/28/2017,12914,31,2704,94.49,meters,9.65,kilometers,1209,135,23,73
3/1/2017,11931,42,2611,128.02,meters,9.39,kilometers,1200,196,15,29
3/2/2017,17942,65,3047,198.12,meters,14.97,kilometers,1095,250,17,78
3/3/2017,11001,27,2483,82.3,meters,8.22,kilometers,1209,180,17,34
3/4/2017,6629,4,2173,12.19,meters,4.95,kilometers,1286,96,33,25
3/5/2017,2833,1,1859,3.05,meters,2.12,kilometers,1369,71,0,0
3/6/2017,15719,22,2755,67.06,meters,11.74,kilometers,1142,212,31,55
3/7/2017,22812,47,3293,143.26,meters,18.53,kilometers,1038,277,32,93
3/8/2017,23501,43,3310,131.06,meters,17.56,kilometers,1019,291,40,90
3/9/2017,20811,45,3128,137.16,meters,17.1,kilometers,1121,184,25,110
3/10/2017,17528,35,3006,106.68,meters,13.09,kilometers,1088,252,26,74
3/11/2017,15473,21,2899,64.01,meters,12.7,kilometers,1099,272,25,44
3/12/2017,2954,2,1843,6.1,meters,2.21,kilometers,1369,62,8,1
3/14/2017,14545,34,2748,103.63,meters,10.87,kilometers,1153,201,22,64
3/15/2017,27470,73,3685,222.5,meters,22.13,kilometers,988,307,27,118
3/16/2017,14643,33,2666,100.58,meters,10.94,kilometers,1191,143,29,77
3/17/2017,9586,17,2574,51.82,meters,7.23,kilometers,1149,247,32,12
3/18/2017,13964,19,2881,57.91,meters,10.43,kilometers,1053,358,23,6
3/20/2017,17533,44,2914,134.11,meters,13.1,kilometers,1109,251,25,55
3/21/2017,17649,44,2884,134.11,meters,14.69,kilometers,1149,201,15,75
3/22/2017,21908,58,3041,176.78,meters,16.37,kilometers,1107,211,78,44
3/23/2017,14069,31,2638,94.49,meters,10.51,kilometers,1165,206,20,49
3/27/2017,11196,24,2422,73.15,meters,8.36,kilometers,1239,143,22,36
3/28/2017,13465,24,2593,73.15,meters,10.06,kilometers,1187,182,28,43
3/29/2017,17581,36,2964,109.73,meters,15.24,kilometers,1129,227,12,72
3/30/2017,18528,41,3025,124.97,meters,13.84,kilometers,1042,322,29,47
3/31/2017,15388,40,2825,121.92,meters,11.49,kilometers,1115,272,19,34
4/1/2017,8800,11,2327,33.53,meters,6.57,kilometers,1240,159,25,16
4/2/2017,12255,19,2565,57.91,meters,9.15,kilometers,1181,196,50,13
4/3/2017,12865,26,2693,79.25,meters,9.61,kilometers,1168,183,33,56
4/4/2017,19900,49,2984,149.35,meters,14.87,kilometers,1104,234,45,57
4/5/2017,12671,29,2525,88.39,meters,9.47,kilometers,1216,183,12,29
4/6/2017,15465,35,2753,106.68,meters,12.6,kilometers,1174,204,10,52
4/9/2017,0,0,1619,0,meters,0,kilometers,1440,0,0,0
4/10/2017,8150,4,2273,12.19,meters,6.09,kilometers,1439,1,0,0
4/11/2017,14708,8,2817,24.38,meters,10.99,kilometers,1053,333,30,24
4/12/2017,10498,16,2484,48.77,meters,7.89,kilometers,1164,249,14,13
4/13/2017,3575,11,1967,33.53,meters,3.27,kilometers,1333,93,1,13
4/14/2017,11222,6,2406,18.29,meters,8.38,kilometers,1236,146,21,37
4/15/2017,0,0,1619,0,meters,0,kilometers,1122,0,0,0
4/17/2017,0,0,1619,0,meters,0,kilometers,1440,0,0,0
4/18/2017,14356,23,2742,70.1,meters,11.18,kilometers,1173,188,14,65
4/19/2017,17861,36,2864,109.73,meters,13.34,kilometers,1165,148,30,97
4/23/2017,9418,12,2308,36.58,meters,7.04,kilometers,1232,186,22,0
4/25/2017,11131,26,2431,79.25,meters,8.31,kilometers,1238,137,17,48
4/26/2017,9860,25,2375,76.2,meters,7.37,kilometers,1243,159,11,27
4/27/2017,13337,27,2649,82.3,meters,9.96,kilometers,1174,211,14,41
4/28/2017,9119,28,2355,85.34,meters,6.81,kilometers,1258,151,17,14
4/29/2017,19493,31,3101,94.49,meters,14.56,kilometers,1026,345,37,32
4/30/2017,12031,19,2457,57.91,meters,12.4,kilometers,1284,66,36,54
5/1/2017,9936,7,2385,21.34,meters,7.42,kilometers,1206,188,34,12